survived,pclass,sex,age,sibsp,parch,fare,embarked,class,FamilySize,IsAlone,AgeGroup,FareGroup,Title,fare_log
1,2,0,29.0,0.0,0.0,10.5,2,1,1.0,1,4,2,4,2.4423470353692043
0,3,1,19.0,0.0,0.0,8.1583,2,2,1.0,1,4,2,3,2.2146605719425225
1,3,0,17.0,2.5,2.0,7.925,2,2,3.5,0,3,1,2,2.188856327665703
0,3,1,26.0,2.0,0.0,8.6625,2,2,3.0,0,4,2,3,2.2682524139135403
0,2,1,32.0,0.0,0.0,10.5,2,1,1.0,1,4,2,3,2.4423470353692043
0,3,0,16.0,2.5,2.0,46.9,2,2,3.5,0,3,3,2,3.8691155044168695
0,2,1,21.0,0.0,0.0,73.5,2,1,1.0,1,4,3,3,4.310799125385514
0,3,1,26.0,1.0,0.0,14.4542,0,2,2.0,0,4,2,3,2.737880811060884
1,3,1,32.0,0.0,0.0,56.4958,2,2,1.0,1,4,3,3,4.05171190165724
0,3,1,25.0,0.0,0.0,7.65,2,2,1.0,1,4,1,3,2.157559320943788
1,2,1,0.83,0.0,2.0,29.0,2,1,3.0,0,1,0,1,3.4011973816621555
1,3,0,30.0,0.0,0.0,12.475,2,2,1.0,1,4,2,4,2.600836116795061
0,3,1,22.0,0.0,0.0,9.0,2,2,1.0,1,4,2,3,2.302585092994046
1,3,1,29.0,0.0,0.0,9.5,2,2,1.0,1,4,2,3,2.3513752571634776
1,3,0,21.5,0.0,0.0,7.7875,1,2,1.0,1,4,1,4,2.1733302571367834
0,1,1,28.0,0.0,0.0,47.1,2,0,1.0,1,4,3,3,3.8732821771117156
1,2,0,17.0,0.0,0.0,10.5,2,1,1.0,1,3,2,2,2.4423470353692043
1,3,0,33.0,2.5,0.0,15.85,2,2,3.5,0,4,2,4,2.8243506567983707
0,3,1,16.0,1.0,2.5,34.375,2,2,3.5,0,3,0,1,3.5660053559634015
1,1,0,23.0,2.5,2.0,73.8625,2,0,3.5,0,4,3,0,4.315653097590581
0,3,1,24.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,1,29.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,1,20.0,0.0,0.0,7.8542,2,2,1.0,1,4,1,3,2.180891922715322
0,1,1,46.0,1.0,0.0,61.175,2,0,2.0,0,0,3,3,4.1299529896894684
0,3,1,26.0,1.0,2.0,20.575,2,2,3.5,0,4,0,3,3.0715352369694915
0,3,1,59.0,0.0,0.0,7.25,2,2,1.0,1,0,1,3,2.1102132003465894
0,1,1,63.5,0.0,0.0,34.6542,0,0,1.0,1,2,3,3,3.57386695198272
1,1,1,23.0,0.0,1.0,63.3583,0,0,2.0,0,4,3,3,4.164465907853638
1,2,0,34.0,0.0,1.0,23.0,2,1,2.0,0,4,0,4,3.1780538303479458
0,2,1,34.0,1.0,0.0,26.0,2,1,2.0,0,4,0,3,3.295836866004329
0,3,0,28.0,0.0,0.0,7.8958,2,2,1.0,1,4,1,4,2.1855792552411137
0,1,1,21.0,0.0,1.0,73.8625,2,0,2.0,0,4,3,3,4.315653097590581
0,3,1,33.0,0.0,0.0,8.6542,2,2,1.0,1,4,2,3,2.267393053825037
0,3,1,37.0,2.0,0.0,7.925,2,2,3.0,0,0,1,3,2.188856327665703
0,3,1,28.0,0.0,0.0,7.8958,2,2,1.0,1,4,1,3,2.1855792552411137
1,3,0,21.0,0.0,0.0,7.65,2,2,1.0,1,4,1,4,2.157559320943788
1,3,1,25.0,0.0,0.0,7.775,2,2,1.0,1,4,1,3,2.1719067693519296
0,3,1,38.0,0.0,0.0,7.8958,2,2,1.0,1,0,1,3,2.1855792552411137
1,3,0,21.5,1.0,0.0,24.15,1,2,2.0,0,4,0,4,3.224857896545748
0,1,1,47.0,0.0,0.0,52.0,2,0,1.0,1,0,3,3,3.970291913552122
0,3,0,14.5,1.0,0.0,14.4542,0,2,2.0,0,3,2,2,2.737880811060884
0,3,1,22.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,0,20.0,1.0,0.0,9.825,2,2,2.0,0,4,2,4,2.3818582738885534
0,3,0,17.0,0.0,0.0,14.4583,0,2,1.0,1,3,2,2,2.738146075922933
0,3,1,21.0,0.0,0.0,7.925,2,2,1.0,1,4,1,3,2.188856327665703
0,3,1,63.5,0.0,0.0,7.75,1,2,1.0,1,2,1,3,2.169053700369523
0,2,1,29.0,1.0,0.0,21.0,2,1,2.0,0,4,0,3,3.091042453358316
0,1,1,24.0,0.0,1.0,73.8625,0,0,2.0,0,4,3,3,4.315653097590581
0,3,0,2.0,2.5,2.0,31.275,2,2,3.5,0,1,0,2,3.4742929367327062
0,2,1,21.0,2.0,0.0,73.5,2,1,3.0,0,4,3,3,4.310799125385514
0,2,1,32.5,1.0,0.0,30.0708,0,1,2.0,0,4,0,3,3.436268471383741
1,2,0,32.5,0.0,0.0,13.0,2,1,1.0,1,4,2,4,2.6390573296152584
0,1,1,54.0,0.0,1.0,73.8625,2,0,2.0,0,0,3,3,4.315653097590581
1,3,1,12.0,1.0,0.0,11.2417,0,2,2.0,0,1,2,1,2.5048481563289
0,3,1,25.0,0.0,0.0,7.75,1,2,1.0,1,4,1,3,2.169053700369523
1,3,1,24.0,0.0,0.0,7.1417,2,2,1.0,1,4,1,3,2.0969990034181696
1,3,0,21.5,1.0,1.0,22.3583,0,2,3.0,0,4,0,4,3.1509523813392697
0,3,1,45.0,0.0,0.0,6.975,2,2,1.0,1,0,1,3,2.076311648670908
0,3,1,33.0,0.0,0.0,7.8958,0,2,1.0,1,4,1,3,2.1855792552411137
0,3,1,20.0,0.0,0.0,7.05,2,2,1.0,1,4,1,3,2.0856720914304723
0,3,0,47.0,1.0,0.0,14.5,2,2,2.0,0,0,2,4,2.740840023925201
0,2,1,25.0,0.0,0.0,13.0,2,1,1.0,1,4,2,3,2.6390573296152584
0,2,1,23.0,0.0,0.0,15.0458,0,1,1.0,1,4,2,3,2.775447133088262
1,1,0,19.0,0.0,2.0,26.2833,2,0,3.0,0,4,0,0,3.3062747934011893
0,1,1,37.0,1.0,0.0,53.1,2,0,2.0,0,0,3,3,3.9908341858524357
0,3,1,16.0,0.0,0.0,9.2167,2,2,1.0,1,3,2,1,2.3240236363515288
0,1,1,24.0,0.0,0.0,73.8625,0,0,1.0,1,4,3,3,4.315653097590581
0,3,0,21.5,0.0,2.0,15.2458,0,2,3.0,0,4,2,4,2.7878344138303452
1,3,0,22.0,0.0,0.0,7.75,2,2,1.0,1,4,1,4,2.169053700369523
1,3,0,24.0,1.0,0.0,15.85,2,2,2.0,0,4,2,4,2.8243506567983707
0,3,1,19.0,0.0,0.0,6.75,1,2,1.0,1,4,1,3,2.0476928433652555
0,2,1,18.0,0.0,0.0,11.5,2,1,1.0,1,3,2,3,2.5257286443082556
0,2,1,19.0,1.0,1.0,36.75,2,1,3.0,0,4,3,3,3.6309854756950335
1,3,1,27.0,0.0,0.0,7.7958,2,2,1.0,1,4,1,3,2.174274334826008
0,3,0,9.0,2.0,2.0,34.375,2,2,3.5,0,1,0,2,3.5660053559634015
0,2,1,36.5,0.0,2.0,26.0,2,1,3.0,0,0,0,3,3.295836866004329
0,2,1,42.0,0.0,0.0,13.0,2,1,1.0,1,0,2,3,2.6390573296152584
0,2,1,51.0,0.0,0.0,12.525,2,1,1.0,1,0,2,3,2.6045398247325453
1,1,0,22.0,1.0,0.0,66.6,2,0,2.0,0,4,3,0,4.213607983048918
0,3,1,55.5,0.0,0.0,8.05,2,2,1.0,1,0,1,3,2.2027647577118348
0,3,1,40.5,0.0,2.0,14.5,2,2,3.0,0,0,2,3,2.740840023925201
0,3,1,25.0,0.0,0.0,7.3125,2,2,1.0,1,4,1,3,2.1177604059819726
0,1,1,51.0,0.0,1.0,61.3792,0,0,2.0,0,0,3,3,4.133231886474144
1,3,0,16.0,0.0,0.0,7.7333,1,2,1.0,1,3,1,2,2.167143305297764
0,3,1,30.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,1,25.0,0.0,0.0,8.6625,2,2,1.0,1,4,2,3,2.2682524139135403
0,3,1,25.0,2.5,2.0,69.55,2,2,3.5,0,4,3,3,4.256321678298823
0,3,1,44.0,0.0,1.0,16.1,2,2,2.0,0,0,2,3,2.8390784635086144
1,2,0,40.0,0.0,0.0,15.75,2,1,1.0,1,0,2,4,2.8183982582710754
0,3,1,26.0,0.0,0.0,7.775,2,2,1.0,1,4,1,3,2.1719067693519296
0,3,1,17.0,0.0,0.0,8.6625,2,2,1.0,1,3,2,1,2.2682524139135403
0,3,1,1.0,2.5,1.0,39.6875,2,2,3.5,0,1,3,1,3.705920919968788
1,3,1,9.0,0.0,2.0,20.525,2,2,3.0,0,1,0,1,3.0692150503137943
1,1,0,35.0,0.0,1.0,55.0,2,0,2.0,0,4,3,0,4.02535169073515
0,3,0,45.0,1.0,2.5,27.9,2,2,3.5,0,0,0,4,3.3638415951183864
0,1,1,40.0,0.0,0.0,25.925,2,0,1.0,1,0,0,3,3.2930552230424524
0,3,1,28.0,0.0,0.0,56.4958,2,2,1.0,1,4,3,3,4.05171190165724
0,1,1,61.0,0.0,0.0,33.5,2,0,1.0,1,2,0,3,3.5409593240373143
0,3,1,4.0,2.5,1.0,29.125,1,2,3.5,0,1,0,1,3.405355391810819
1,3,0,1.0,1.0,1.0,11.1333,2,2,3.0,0,1,2,2,2.495953738718064
0,1,1,56.0,0.0,0.0,30.6958,0,0,1.0,1,0,0,3,3.4561841799918147
0,3,1,18.0,1.0,1.0,7.8542,2,2,3.0,0,3,1,3,2.180891922715322
0,3,1,25.0,2.5,1.0,25.4667,2,2,3.5,0,4,0,3,3.275887339030031
0,1,0,50.0,0.0,0.0,28.7125,0,0,1.0,1,0,0,0,3.391567832686312
0,2,1,30.0,0.0,0.0,13.0,2,1,1.0,1,4,2,3,2.6390573296152584
0,3,1,36.0,0.0,0.0,0.0,2,2,1.0,1,0,1,3,0.0
0,3,0,21.5,2.5,2.0,69.55,2,2,3.5,0,4,3,4,4.256321678298823
0,2,1,30.0,0.0,0.0,15.05,0,1,1.0,1,4,2,3,2.775708849576025
0,3,1,9.0,2.5,2.0,31.3875,2,2,3.5,0,1,0,1,3.4777725458882283
1,2,1,1.0,2.0,1.0,39.0,2,1,3.5,0,1,3,1,3.6888794541139363
1,3,0,4.0,0.0,2.0,22.025,2,2,3.0,0,1,0,2,3.1365805821413706
0,1,1,40.0,0.0,0.0,50.0,2,0,1.0,1,0,3,3,3.9318256327243257
1,3,0,21.5,1.0,0.0,15.5,1,2,2.0,0,4,2,4,2.803360380906535
1,1,1,45.0,0.0,0.0,26.55,2,0,1.0,1,0,0,3,3.3160025355989236
0,3,1,40.0,1.0,1.0,15.5,1,2,3.0,0,0,2,3,2.803360380906535
0,3,1,36.0,0.0,0.0,7.8958,2,2,1.0,1,0,1,3,2.1855792552411137
1,2,0,32.0,0.0,0.0,13.0,2,1,1.0,1,4,2,4,2.6390573296152584
0,2,1,19.0,0.0,0.0,13.0,2,1,1.0,1,4,2,3,2.6390573296152584
1,3,0,19.0,1.0,0.0,7.8542,2,2,2.0,0,4,1,4,2.180891922715322
1,2,1,3.0,1.0,1.0,26.0,2,1,3.0,0,1,0,1,3.295836866004329
1,1,0,44.0,0.0,0.0,27.7208,0,0,1.0,1,0,0,0,3.357621598945279
1,1,0,58.0,0.0,0.0,73.8625,0,0,1.0,1,0,3,0,4.315653097590581
0,3,1,42.0,0.0,1.0,8.4042,2,2,2.0,0,0,2,3,2.2411563979973974
0,2,0,24.0,0.0,0.0,13.0,2,1,1.0,1,4,2,4,2.6390573296152584
0,3,1,28.0,0.0,0.0,9.5,2,2,1.0,1,4,2,3,2.3513752571634776
0,3,1,34.0,0.0,0.0,6.4958,2,2,1.0,1,4,1,3,2.0143428636837015
0,3,1,45.5,0.0,0.0,7.225,0,2,1.0,1,0,1,3,2.1071782966514356
1,3,1,18.0,0.0,0.0,8.05,2,2,1.0,1,3,1,3,2.2027647577118348
0,3,0,2.0,0.0,1.0,10.4625,2,2,2.0,0,1,2,2,2.4390808375825834
0,3,1,32.0,1.0,0.0,15.85,2,2,2.0,0,4,2,3,2.8243506567983707
1,3,1,26.0,0.0,0.0,18.7875,0,2,1.0,1,4,0,3,2.9850504252071306
1,3,0,16.0,0.0,0.0,7.75,1,2,1.0,1,3,1,2,2.169053700369523
1,1,1,40.0,0.0,0.0,31.0,0,0,1.0,1,0,0,3,3.4657359027997265
0,3,1,24.0,0.0,0.0,7.05,2,2,1.0,1,4,1,3,2.0856720914304723
1,2,0,35.0,0.0,0.0,21.0,2,1,1.0,1,4,0,4,3.091042453358316
0,3,1,22.0,0.0,0.0,7.25,2,2,1.0,1,4,1,3,2.1102132003465894
0,3,1,25.0,1.0,0.0,7.75,1,2,2.0,0,4,1,3,2.169053700369523
1,1,0,31.0,1.0,0.0,73.8625,0,0,2.0,0,4,3,0,4.315653097590581
1,3,0,27.0,0.0,0.0,7.925,2,2,1.0,1,4,1,4,2.188856327665703
0,2,1,42.0,1.0,0.0,27.0,2,1,2.0,0,0,0,3,3.332204510175204
1,1,0,32.0,0.0,0.0,73.8625,0,0,1.0,1,4,3,0,4.315653097590581
0,2,1,30.0,0.0,0.0,10.5,2,1,1.0,1,4,2,3,2.4423470353692043
1,3,1,16.0,0.0,0.0,8.05,2,2,1.0,1,3,1,1,2.2027647577118348
0,2,1,27.0,0.0,0.0,13.0,2,1,1.0,1,4,2,3,2.6390573296152584
0,3,1,51.0,0.0,0.0,8.05,2,2,1.0,1,0,1,3,2.2027647577118348
1,1,1,38.0,1.0,0.0,73.8625,2,0,2.0,0,0,3,3,4.315653097590581
0,3,1,22.0,0.0,0.0,9.35,2,2,1.0,1,4,2,3,2.336986519711378
1,2,1,19.0,0.0,0.0,10.5,2,1,1.0,1,4,2,3,2.4423470353692043
0,3,1,20.5,0.0,0.0,7.25,2,2,1.0,1,4,1,3,2.1102132003465894
0,2,1,18.0,0.0,0.0,13.0,2,1,1.0,1,3,2,3,2.6390573296152584
0,3,0,21.5,2.5,1.0,25.4667,2,2,3.5,0,4,0,4,3.275887339030031
1,1,0,35.0,1.0,0.0,73.8625,2,0,2.0,0,4,3,0,4.315653097590581
0,3,1,29.0,0.0,0.0,7.775,2,2,1.0,1,4,1,3,2.1719067693519296
0,2,1,59.0,0.0,0.0,13.5,2,1,1.0,1,0,2,3,2.6741486494265287
1,3,0,5.0,2.5,2.0,31.3875,2,2,3.5,0,1,0,2,3.4777725458882283
0,2,1,24.0,0.0,0.0,10.5,2,1,1.0,1,4,2,3,2.4423470353692043
0,3,0,21.5,0.0,0.0,7.55,2,2,1.0,1,4,1,4,2.145931282948669
0,2,1,44.0,1.0,0.0,26.0,2,1,2.0,0,0,0,3,3.295836866004329
1,2,0,8.0,0.0,2.0,26.25,2,1,3.0,0,1,0,2,3.305053521109253
0,2,1,19.0,0.0,0.0,10.5,2,1,1.0,1,4,2,3,2.4423470353692043
0,2,1,33.0,0.0,0.0,12.275,2,1,1.0,1,4,2,3,2.5858825671280026
0,3,0,21.5,1.0,0.0,14.4542,0,2,2.0,0,4,2,4,2.737880811060884
0,2,1,29.0,0.0,0.0,10.5,2,1,1.0,1,4,2,3,2.4423470353692043
0,3,1,22.0,0.0,0.0,7.125,2,2,1.0,1,4,1,3,2.094945728215801
0,3,1,30.0,0.0,0.0,7.225,0,2,1.0,1,4,1,3,2.1071782966514356
0,1,1,44.0,2.0,0.0,73.8625,1,0,3.0,0,0,3,3,4.315653097590581
0,3,0,25.0,0.0,0.0,7.775,2,2,1.0,1,4,1,4,2.1719067693519296
1,2,0,24.0,0.0,2.0,14.5,2,1,3.0,0,4,2,4,2.740840023925201
1,1,1,37.0,1.0,1.0,52.5542,2,0,3.0,0,0,3,3,3.9806942251907276
0,2,1,54.0,1.0,0.0,26.0,2,1,2.0,0,0,0,3,3.295836866004329
0,3,1,25.0,0.0,0.0,7.25,2,2,1.0,1,4,1,3,2.1102132003465894
0,3,0,29.0,1.0,1.0,10.4625,2,2,3.0,0,4,2,4,2.4390808375825834
0,1,1,62.0,0.0,0.0,26.55,2,0,1.0,1,2,0,3,3.3160025355989236
0,3,1,30.0,1.0,0.0,16.1,2,2,2.0,0,4,2,3,2.8390784635086144
0,3,0,41.0,0.0,2.0,20.2125,2,2,3.0,0,0,0,4,3.0545906305603445
1,3,0,29.0,0.0,2.0,15.2458,0,2,3.0,0,4,2,4,2.7878344138303452
1,1,0,35.0,0.0,0.0,73.8625,0,0,1.0,1,4,3,0,4.315653097590581
1,1,0,30.0,0.0,0.0,73.8625,2,0,1.0,1,4,3,0,4.315653097590581
1,1,0,35.0,0.0,0.0,73.8625,0,0,1.0,1,4,3,0,4.315653097590581
1,2,0,50.0,0.0,1.0,26.0,2,1,2.0,0,0,0,4,3.295836866004329
1,3,1,3.0,2.5,2.0,31.3875,2,2,3.5,0,1,0,1,3.4777725458882283
0,1,1,52.0,1.0,1.0,73.8625,2,0,3.0,0,0,3,3,4.315653097590581
0,1,1,40.0,0.0,0.0,0.0,2,0,1.0,1,0,1,3,0.0
0,3,0,21.5,0.0,0.0,7.75,1,2,1.0,1,4,1,4,2.169053700369523
0,2,1,36.0,0.0,0.0,10.5,2,1,1.0,1,0,2,3,2.4423470353692043
0,3,1,16.0,2.5,1.0,39.6875,2,2,3.5,0,3,3,1,3.705920919968788
1,3,1,25.0,1.0,0.0,7.775,2,2,2.0,0,4,1,3,2.1719067693519296
1,1,0,58.0,0.0,1.0,73.8625,2,0,2.0,0,0,3,0,4.315653097590581
1,1,0,35.0,0.0,0.0,73.8625,2,0,1.0,1,4,3,0,4.315653097590581
0,1,1,40.0,0.0,0.0,31.0,2,0,1.0,1,0,0,3,3.4657359027997265
1,3,1,25.0,0.0,0.0,0.0,2,2,1.0,1,4,1,3,0.0
1,2,0,41.0,0.0,1.0,19.5,2,1,2.0,0,0,0,4,3.0204248861443626
0,1,1,37.0,0.0,1.0,29.7,0,0,2.0,0,0,0,3,3.4242626545931514
1,1,0,63.0,1.0,0.0,73.8625,2,0,2.0,0,2,3,0,4.315653097590581
0,3,0,45.0,0.0,0.0,7.75,2,2,1.0,1,0,1,4,2.169053700369523
0,2,1,30.0,0.0,0.0,0.0,2,1,1.0,1,4,1,3,0.0
0,3,1,7.0,2.5,1.0,29.125,1,2,3.5,0,1,0,1,3.405355391810819
1,3,0,35.0,1.0,1.0,20.25,2,2,3.0,0,4,0,4,3.056356895370426
0,3,1,63.5,0.0,0.0,7.75,1,2,1.0,1,2,1,3,2.169053700369523
0,3,1,28.0,0.0,0.0,7.8542,2,2,1.0,1,4,1,3,2.180891922715322
0,3,1,16.0,0.0,0.0,9.5,2,2,1.0,1,3,2,1,2.3513752571634776
1,3,1,19.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,1,1,40.0,0.0,0.0,26.0,2,0,1.0,1,0,0,3,3.295836866004329
0,3,1,33.0,0.0,0.0,8.6625,0,2,1.0,1,4,2,3,2.2682524139135403
1,3,1,30.0,0.0,0.0,9.5,2,2,1.0,1,4,2,3,2.3513752571634776
0,3,1,22.0,0.0,0.0,7.8958,2,2,1.0,1,4,1,3,2.1855792552411137
1,2,1,42.0,0.0,0.0,13.0,2,1,1.0,1,0,2,3,2.6390573296152584
1,3,0,22.0,0.0,0.0,7.75,1,2,1.0,1,4,1,4,2.169053700369523
1,1,0,26.0,0.0,0.0,73.8625,2,0,1.0,1,4,3,0,4.315653097590581
1,1,0,19.0,1.0,0.0,73.8625,0,0,2.0,0,4,3,0,4.315653097590581
0,2,1,36.0,0.0,0.0,12.875,0,1,1.0,1,0,2,3,2.630088659632498
0,3,0,24.0,0.0,0.0,8.85,2,2,1.0,1,4,2,4,2.2874714551839976
0,3,1,24.0,0.0,0.0,7.8958,2,2,1.0,1,4,1,3,2.1855792552411137
0,3,1,23.5,0.0,0.0,7.2292,0,2,1.0,1,4,1,3,2.1076888046179385
0,1,0,2.0,1.0,2.0,73.8625,2,0,3.5,0,1,3,0,4.315653097590581
1,1,1,40.0,0.0,0.0,30.5,2,0,1.0,1,0,0,3,3.449987545831587
1,1,0,50.0,0.0,1.0,73.8625,0,0,2.0,0,0,3,0,4.315653097590581
1,3,1,25.0,2.0,0.0,23.25,1,2,3.0,0,4,0,3,3.188416617383492
0,3,1,19.0,0.0,0.0,0.0,2,2,1.0,1,4,1,3,0.0
1,2,0,28.0,0.0,0.0,12.35,1,1,1.0,1,4,2,4,2.5915163848462583
1,1,1,0.92,1.0,2.0,73.8625,2,0,3.5,0,1,3,1,4.315653097590581
1,1,0,35.0,0.0,0.0,73.8625,0,0,1.0,1,4,3,0,4.315653097590581
1,1,0,17.0,1.0,0.0,73.8625,0,0,2.0,0,3,3,0,4.315653097590581
0,2,1,30.0,1.0,0.0,24.0,0,1,2.0,0,4,0,3,3.2188758248682006
1,1,0,30.0,0.0,0.0,56.9292,0,0,1.0,1,4,3,0,4.0592215752427645
1,1,0,24.0,0.0,0.0,73.8625,0,0,1.0,1,4,3,0,4.315653097590581
1,1,0,18.0,2.0,2.0,73.8625,0,0,3.5,0,3,3,0,4.315653097590581
0,2,0,26.0,1.0,1.0,26.0,2,1,3.0,0,4,0,4,3.295836866004329
0,2,1,43.0,1.0,1.0,26.25,2,1,3.0,0,0,0,3,3.305053521109253
1,3,0,26.0,0.0,0.0,7.8542,2,2,1.0,1,4,1,4,2.180891922715322
1,2,0,24.0,1.0,0.0,26.0,2,1,2.0,0,4,0,4,3.295836866004329
0,2,1,54.0,0.0,0.0,14.0,2,1,1.0,1,0,2,3,2.70805020110221
